symptom,department,description
头痛,神经内科,各种原因引起的头痛，包括偏头痛、紧张性头痛等
头晕,神经内科,头晕目眩，可能伴有恶心呕吐
偏头痛,神经内科,反复发作的单侧头痛
失眠,神经内科,入睡困难或睡眠质量差
记忆力减退,神经内科,记忆力下降，健忘
面瘫,神经内科,面部肌肉瘫痪，口眼歪斜
手抖,神经内科,手部不自主颤抖
抽搐,神经内科,肌肉不自主收缩
意识模糊,神经内科,神志不清，反应迟钝
昏迷,急诊科,意识丧失，无法唤醒
发烧,内科,体温升高超过37.3度
发热,内科,体温异常升高
咳嗽,呼吸内科,咳嗽有痰或无痰
咳痰,呼吸内科,咳嗽伴有痰液
气短,呼吸内科,呼吸急促，感觉气不够用
胸闷,呼吸内科,胸部闷胀不适
哮喘发作,呼吸内科,喘息、气急、胸闷
肺炎,呼吸内科,肺部感染
支气管炎,呼吸内科,支气管炎症
胸痛,心内科,胸部疼痛不适
心悸,心内科,心跳加快或不规则
心慌,心内科,心跳异常感觉
高血压,心内科,血压升高
低血压,心内科,血压偏低
冠心病,心内科,冠状动脉粥样硬化性心脏病
心绞痛,心内科,胸骨后压榨性疼痛
心肌梗死,急诊科,持续性胸痛，大汗淋漓
腹痛,消化内科,腹部疼痛不适
胃痛,消化内科,上腹部疼痛
腹泻,消化内科,大便次数增多，稀便
便秘,消化内科,排便困难
恶心,消化内科,胃部不适，想呕吐
呕吐,消化内科,胃内容物从口中吐出
胃胀,消化内科,上腹部饱胀感
反酸,消化内科,胃酸反流到食管
食欲不振,消化内科,不想吃东西
便血,消化内科,大便带血
黄疸,消化内科,皮肤和眼睛发黄
肝炎,消化内科,肝脏炎症
胆囊炎,消化内科,胆囊炎症
胰腺炎,消化内科,胰腺炎症
尿频,泌尿内科,排尿次数增多
尿急,泌尿内科,有尿意就要立即排尿
尿痛,泌尿内科,排尿时疼痛
血尿,泌尿内科,尿液中带血
肾结石,泌尿内科,肾脏内结石
肾炎,泌尿内科,肾脏炎症
尿路感染,泌尿内科,泌尿系统感染
水肿,肾内科,身体浮肿
蛋白尿,肾内科,尿液中蛋白质含量高
腰痛,骨科,腰部疼痛不适
颈椎病,骨科,颈椎退行性病变
肩周炎,骨科,肩关节周围炎
关节痛,骨科,关节疼痛不适
骨折,骨科,骨头断裂
扭伤,骨科,关节扭伤
腰椎间盘突出,骨科,腰椎间盘退变突出
风湿性关节炎,骨科,关节炎症
类风湿性关节炎,骨科,自身免疫性关节炎
皮疹,皮肤科,皮肤出现红疹
瘙痒,皮肤科,皮肤发痒
湿疹,皮肤科,皮肤湿疹
荨麻疹,皮肤科,皮肤风团
痤疮,皮肤科,青春痘
脱发,皮肤科,头发脱落
银屑病,皮肤科,牛皮癣
带状疱疹,皮肤科,病毒感染引起的皮疹
视力下降,眼科,看东西模糊
眼睛痛,眼科,眼部疼痛
眼睛红,眼科,眼睛充血发红
流泪,眼科,眼睛流泪
白内障,眼科,晶状体混浊
青光眼,眼科,眼压升高
近视,眼科,看远处模糊
远视,眼科,看近处模糊
耳鸣,耳鼻喉科,耳朵里有响声
听力下降,耳鼻喉科,听力减退
耳朵痛,耳鼻喉科,耳朵疼痛
中耳炎,耳鼻喉科,中耳炎症
鼻塞,耳鼻喉科,鼻子不通气
流鼻涕,耳鼻喉科,鼻腔分泌物增多
鼻出血,耳鼻喉科,鼻子出血
咽喉痛,耳鼻喉科,咽喉疼痛
声音嘶哑,耳鼻喉科,声音变粗或失声
扁桃体炎,耳鼻喉科,扁桃体炎症
鼻窦炎,耳鼻喉科,鼻窦炎症
牙痛,口腔科,牙齿疼痛
牙龈出血,口腔科,牙龈出血
口腔溃疡,口腔科,口腔黏膜溃疡
龋齿,口腔科,蛀牙
牙周炎,口腔科,牙周组织炎症
月经不调,妇科,月经周期异常
痛经,妇科,经期腹痛
白带异常,妇科,白带量、色、味异常
阴道炎,妇科,阴道炎症
子宫肌瘤,妇科,子宫良性肿瘤
卵巢囊肿,妇科,卵巢囊性肿物
乳腺增生,妇科,乳腺组织增生
乳房肿块,妇科,乳房内肿块
更年期综合征,妇科,更年期症状
不孕症,妇科,无法怀孕
阳痿,男科,勃起功能障碍
早泄,男科,射精过快
前列腺炎,男科,前列腺炎症
前列腺增生,男科,前列腺肥大
不育症,男科,无法生育
焦虑,精神心理科,过度担心、紧张
抑郁,精神心理科,情绪低落、兴趣减退
强迫症,精神心理科,反复出现强迫思维或行为
恐惧症,精神心理科,对特定事物过度恐惧
精神分裂症,精神心理科,思维、情感、行为异常
多动症,精神心理科,注意力不集中、活动过多
自闭症,精神心理科,社交障碍、行为刻板
过敏,变态反应科,过敏反应
食物过敏,变态反应科,对食物过敏
药物过敏,变态反应科,对药物过敏
花粉过敏,变态反应科,对花粉过敏
甲状腺功能亢进,内分泌科,甲亢
甲状腺功能减退,内分泌科,甲减
糖尿病,内分泌科,血糖升高
低血糖,内分泌科,血糖偏低
肥胖,内分泌科,体重超标
痛风,内分泌科,尿酸升高
贫血,血液科,血红蛋白偏低
白血病,血液科,血液系统恶性肿瘤
淋巴瘤,血液科,淋巴系统肿瘤
血小板减少,血液科,血小板数量偏低
中暑,急诊科,高温环境下体温调节障碍
冻伤,急诊科,低温环境下组织损伤
食物中毒,急诊科,食用有毒食物
药物中毒,急诊科,药物过量或误服
一氧化碳中毒,急诊科,吸入一氧化碳
电击伤,急诊科,触电损伤
溺水,急诊科,水中窒息
烧伤,急诊科,火焰或高温损伤
烫伤,急诊科,热水或蒸汽损伤
割伤,急诊科,锐器损伤
咬伤,急诊科,动物或人咬伤
蜂蜇伤,急诊科,蜜蜂或黄蜂蜇伤
蛇咬伤,急诊科,毒蛇咬伤
过敏性休克,急诊科,严重过敏反应
大出血,急诊科,大量出血
呼吸困难,急诊科,呼吸急促或困难
剧烈腹痛,急诊科,腹部剧烈疼痛
高热不退,急诊科,持续高烧
癌症,肿瘤科,恶性肿瘤
化疗后反应,肿瘤科,化疗副作用
放疗后反应,肿瘤科,放疗副作用
帕金森病,神经内科,震颤、肌强直、运动迟缓
癫痫,神经内科,反复发作的抽搐
脑卒中,急诊科,突发偏瘫、言语不清
阿尔茨海默病,神经内科,老年性痴呆
多发性硬化,神经内科,神经系统脱髓鞘疾病
重症肌无力,神经内科,肌肉无力
肌萎缩侧索硬化,神经内科,渐冻症
脊髓炎,神经内科,脊髓炎症
周围神经病,神经内科,周围神经病变
三叉神经痛,神经内科,面部剧烈疼痛
坐骨神经痛,骨科,臀部到腿部放射性疼痛
腕管综合征,骨科,手腕部神经压迫
腱鞘炎,骨科,腱鞘炎症
滑膜炎,骨科,滑膜炎症
骨质疏松,骨科,骨密度降低
骨关节炎,骨科,关节退行性病变
强直性脊柱炎,骨科,脊柱炎症
脊柱侧弯,骨科,脊柱弯曲
扁平足,骨科,足弓塌陷
拇外翻,骨科,大脚骨
